city,latitude,longitude,weather_date,weather_code,temperature_max_c,temperature_min_c,sunrise,sunset,precipitation
Hyderabad,17.394890000000032,78.47073000000006,2023-02-08,3,33,21,2023-02-08 06:14:00,2023-02-08 17:45:00,0
Trichy,10.806050000000027,78.69476000000003,2023-02-08,2,34,21,2023-02-08 06:06:00,2023-02-08 17:52:00,0
Chennai,13.083750000000066,80.28256000000005,2023-02-08,45,31,22,2023-02-08 06:02:00,2023-02-08 17:43:00,0
Delhi,28.63409000000007,77.21693000000005,2023-02-08,1,24,11,2023-02-08 06:33:00,2023-02-08 17:36:00,0
